COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS
209,Enfermagem,Graduação,2014,M,4.0,5.0
209,Enfermagem,Graduação,2014,F,57.0,40.0
209,Enfermagem,Graduação,2015,M,9.0,8.0
209,Enfermagem,Graduação,2015,F,46.0,27.0
209,Enfermagem,Graduação,2016,M,8.0,6.0
209,Enfermagem,Graduação,2016,F,42.0,39.0
209,Enfermagem,Graduação,2017,M,14.0,3.0
209,Enfermagem,Graduação,2017,F,44.0,33.0
209,Enfermagem,Graduação,2018,M,14.0,0.0
209,Enfermagem,Graduação,2018,F,50.0,1.0
209,Enfermagem,Graduação,2019,M,14.0,5.0
209,Enfermagem,Graduação,2019,F,43.0,26.0
209,Enfermagem,Graduação,2020,M,14.0,2.0
209,Enfermagem,Graduação,2020,F,41.0,31.0
209,Enfermagem,Graduação,2021,M,12.0,0.0
209,Enfermagem,Graduação,2021,F,42.0,13.0
209,Enfermagem,Graduação,2022,M,13.0,3.0
209,Enfermagem,Graduação,2022,F,42.0,19.0
209,Enfermagem,Graduação,2023,M,11.0,8.0
209,Enfermagem,Graduação,2023,F,41.0,32.0
209,Enfermagem,Graduação,TOTAL,M,113.0,40.0
209,Enfermagem,Graduação,TOTAL,F,448.0,261.0
211,Farmácia,Graduação,2014,M,10.0,6.0
211,Farmácia,Graduação,2014,F,98.0,68.0
211,Farmácia,Graduação,2015,M,17.0,6.0
211,Farmácia,Graduação,2015,F,92.0,72.0
211,Farmácia,Graduação,2016,M,33.0,9.0
211,Farmácia,Graduação,2016,F,90.0,62.0
211,Farmácia,Graduação,2017,M,26.0,10.0
211,Farmácia,Graduação,2017,F,80.0,50.0
211,Farmácia,Graduação,2018,M,36.0,8.0
211,Farmácia,Graduação,2018,F,76.0,57.0
211,Farmácia,Graduação,2019,M,29.0,6.0
211,Farmácia,Graduação,2019,F,77.0,44.0
211,Farmácia,Graduação,2020,M,13.0,6.0
211,Farmácia,Graduação,2020,F,87.0,21.0
211,Farmácia,Graduação,2021,M,22.0,7.0
211,Farmácia,Graduação,2021,F,83.0,56.0
211,Farmácia,Graduação,2022,M,11.0,12.0
211,Farmácia,Graduação,2022,F,88.0,50.0
211,Farmácia,Graduação,2023,M,19.0,25.0
211,Farmácia,Graduação,2023,F,91.0,43.0
211,Farmácia,Graduação,TOTAL,M,216.0,95.0
211,Farmácia,Graduação,TOTAL,F,862.0,523.0
210,Fisioterapia,Graduação,2014,M,9.0,2.0
210,Fisioterapia,Graduação,2014,F,42.0,24.0
210,Fisioterapia,Graduação,2015,M,9.0,10.0
210,Fisioterapia,Graduação,2015,F,43.0,33.0
210,Fisioterapia,Graduação,2016,M,11.0,1.0
210,Fisioterapia,Graduação,2016,F,50.0,34.0
210,Fisioterapia,Graduação,2017,M,16.0,4.0
210,Fisioterapia,Graduação,2017,F,34.0,18.0
210,Fisioterapia,Graduação,2018,M,15.0,6.0
210,Fisioterapia,Graduação,2018,F,41.0,31.0
210,Fisioterapia,Graduação,2019,M,17.0,11.0
210,Fisioterapia,Graduação,2019,F,43.0,33.0
210,Fisioterapia,Graduação,2020,M,14.0,2.0
210,Fisioterapia,Graduação,2020,F,43.0,6.0
210,Fisioterapia,Graduação,2021,M,21.0,2.0
210,Fisioterapia,Graduação,2021,F,30.0,23.0
210,Fisioterapia,Graduação,2022,M,25.0,5.0
210,Fisioterapia,Graduação,2022,F,32.0,21.0
210,Fisioterapia,Graduação,2023,M,14.0,6.0
210,Fisioterapia,Graduação,2023,F,36.0,29.0
210,Fisioterapia,Graduação,TOTAL,M,151.0,49.0
210,Fisioterapia,Graduação,TOTAL,F,394.0,252.0
204,Fonoaudiologia,Graduação,2014,M,1.0,0.0
