Ano,Semestre,Cód. Disciplina,Cód. Turma,Situação,%,Alunos,Professor,Cód. Curso,Curso
2023,1. Semestre,D402855,CC,Aprovado,81,22,E642946200380,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D402855,CC,Reprovado,19,5,E642946200380,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D402855,SI1,Aprovado,30,6,I200380893402,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D402855,SI1,Aprovado,30,6,C200380893402,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D402855,SI1,Não Concl.,5,1,I200380893402,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D402855,SI1,Não Concl.,5,1,C200380893402,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D402855,SI1,Reprovado,15,3,I200380893402,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D402855,SI1,Reprovado,15,3,C200380893402,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D402855,CC,Aprovado,64,14,C946200380402,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D402855,CC,Não Concl.,5,1,C946200380402,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D402855,CC,Repr.Freq,27,6,C946200380402,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D402855,CC,Reprovado,5,1,C946200380402,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D402855,SI,Aprovado,41,34,I200380893402,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D402855,SI,Aprovado,41,34,C200380893402,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D402855,SI,Dispensado,1,1,I200380893402,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D402855,SI,Dispensado,1,1,C200380893402,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D402855,SI,Reprovado,7,6,I200380893402,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D402855,SI,Reprovado,7,6,C200380893402,314,Bacharelado em Sistemas de Informação
