COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS
640.EAD.08,Curso de Formação de Professores para Educação Profissional/Ead/Agudo/RS,Graduação,2018,M,14.0,0.0
640.EAD.08,Curso de Formação de Professores para Educação Profissional/Ead/Agudo/RS,Graduação,2018,F,24.0,0.0
640.EAD.08,Curso de Formação de Professores para Educação Profissional/Ead/Agudo/RS,Graduação,2019,M,0.0,7.0
640.EAD.08,Curso de Formação de Professores para Educação Profissional/Ead/Agudo/RS,Graduação,2019,F,0.0,15.0
640.EAD.08,Curso de Formação de Professores para Educação Profissional/Ead/Agudo/RS,Graduação,TOTAL,M,14.0,7.0
640.EAD.08,Curso de Formação de Professores para Educação Profissional/Ead/Agudo/RS,Graduação,TOTAL,F,24.0,15.0
640.EAD.09,Curso de Formação de Professores para Educação Profissional/Ead/Gramado/RS,Graduação,2018,M,14.0,0.0
640.EAD.09,Curso de Formação de Professores para Educação Profissional/Ead/Gramado/RS,Graduação,2018,F,15.0,0.0
640.EAD.09,Curso de Formação de Professores para Educação Profissional/Ead/Gramado/RS,Graduação,2019,M,0.0,6.0
640.EAD.09,Curso de Formação de Professores para Educação Profissional/Ead/Gramado/RS,Graduação,2019,F,0.0,9.0
640.EAD.09,Curso de Formação de Professores para Educação Profissional/Ead/Gramado/RS,Graduação,TOTAL,M,14.0,6.0
640.EAD.09,Curso de Formação de Professores para Educação Profissional/Ead/Gramado/RS,Graduação,TOTAL,F,15.0,9.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2014,F,0.0,4.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2014,M,2.0,7.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2016,M,11.0,0.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2016,F,22.0,0.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2017,M,0.0,7.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2017,F,3.0,11.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2018,M,8.0,0.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2018,F,26.0,0.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2019,M,0.0,2.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,2019,F,0.0,10.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,TOTAL,M,21.0,16.0
640.EAD.01,Curso de Formação de Professores para Educação Profissional/Ead/Novo Hamburgo/RS,Graduação,TOTAL,F,51.0,25.0
640.EAD.02,Curso de Formação de Professores para Educação Profissional/Ead/Quaraí/RS,Graduação,2014,F,0.0,3.0
640.EAD.02,Curso de Formação de Professores para Educação Profissional/Ead/Quaraí/RS,Graduação,2014,M,1.0,4.0
640.EAD.02,Curso de Formação de Professores para Educação Profissional/Ead/Quaraí/RS,Graduação,TOTAL,F,0.0,3.0
640.EAD.02,Curso de Formação de Professores para Educação Profissional/Ead/Quaraí/RS,Graduação,TOTAL,M,1.0,4.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,2016,F,14.0,0.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,2016,M,17.0,0.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,2017,F,0.0,10.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,2017,M,0.0,10.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,2018,F,14.0,0.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,2018,M,17.0,0.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,2019,M,0.0,6.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,2019,F,0.0,8.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,TOTAL,M,34.0,16.0
640.EAD.06,Curso de Formação de Professores para Educação Profissional/Ead/Sapiranga/RS,Graduação,TOTAL,F,28.0,18.0
640.EAD.03,Curso de Formação de Professores para Educação Profissional/Ead/São Lourenço do Sul/RS,Graduação,2014,M,0.0,2.0
640.EAD.03,Curso de Formação de Professores para Educação Profissional/Ead/São Lourenço do Sul/RS,Graduação,2014,F,0.0,4.0
640.EAD.03,Curso de Formação de Professores para Educação Profissional/Ead/São Lourenço do Sul/RS,Graduação,2015,M,0.0,1.0
