Ano,Semestre,Cód. Disciplina,Cód. Turma,Situação,%,Alunos,Professor,Cód. Curso,Curso
2023,1. Semestre,D200888,10,Aprovado,38,9,P642380402,123,Física - Bacharelado
2023,1. Semestre,D200888,10,Repr.Freq,33,8,P642380402,123,Física - Bacharelado
2023,1. Semestre,D200888,10,Reprovado,29,7,P642380402,123,Física - Bacharelado
2023,1. Semestre,D200888,11,Aprovado,45,13,P888683642,402,Engenharia Florestal
2023,1. Semestre,D200888,11,Repr.Freq,38,11,P888683642,402,Engenharia Florestal
2023,1. Semestre,D200888,11,Reprovado,17,5,P888683642,402,Engenharia Florestal
2023,1. Semestre,D200888,12,Aprovado,29,5,P380148200,110,Química Industrial
2023,1. Semestre,D200888,12,Repr.Freq,29,5,P380148200,110,Química Industrial
2023,1. Semestre,D200888,12,Reprovado,41,7,P380148200,110,Química Industrial
2023,1. Semestre,D200888,12,Aprovado,44,7,P380148200,133,Química - Bacharelado
2023,1. Semestre,D200888,12,Repr.Freq,25,4,P380148200,133,Química - Bacharelado
2023,1. Semestre,D200888,12,Reprovado,31,5,P380148200,133,Química - Bacharelado
2023,1. Semestre,D200888,13,Aprovado,20,9,P642380402,521,Ciências Econômicas - Diurno
2023,1. Semestre,D200888,13,CancMatric,2,1,P642380402,521,Ciências Econômicas - Diurno
2023,1. Semestre,D200888,13,Repr.Freq,64,29,P642380402,521,Ciências Econômicas - Diurno
2023,1. Semestre,D200888,13,Reprovado,13,6,P642380402,521,Ciências Econômicas - Diurno
2023,1. Semestre,D200888,14,Aprovado,23,8,P888402148,305,Engenharia Química
2023,1. Semestre,D200888,14,Repr.Freq,40,14,P888402148,305,Engenharia Química
2023,1. Semestre,D200888,14,Reprovado,37,13,P888402148,305,Engenharia Química
2023,1. Semestre,D200888,15,Aprovado,43,10,P888402148,139,Curso de Bacharelado em Estatística - Noturno
2023,1. Semestre,D200888,15,Repr.Freq,35,8,P888402148,139,Curso de Bacharelado em Estatística - Noturno
2023,1. Semestre,D200888,15,Reprovado,22,5,P888402148,139,Curso de Bacharelado em Estatística - Noturno
2023,1. Semestre,D200888,50,Reprovado,100,1,P380148200,305,Engenharia Química
2023,2. Semestre,D200888,10,Aprovado,36,19,P380148200,504,Ciências Econômicas - Noturno
2023,2. Semestre,D200888,10,CancMatric,4,2,P380148200,504,Ciências Econômicas - Noturno
2023,2. Semestre,D200888,10,Repr.Freq,30,16,P380148200,504,Ciências Econômicas - Noturno
2023,2. Semestre,D200888,10,Reprovado,30,16,P380148200,504,Ciências Econômicas - Noturno
2023,2. Semestre,D200888,102,Aprovado,29,5,P642380402,102,Física - Licenciatura Plena
2023,2. Semestre,D200888,102,Repr.Freq,59,10,P642380402,102,Física - Licenciatura Plena
2023,2. Semestre,D200888,102,Reprovado,12,2,P642380402,102,Física - Licenciatura Plena
2023,2. Semestre,D200888,11,Aprovado,24,11,P888683320,402,Engenharia Florestal
2023,2. Semestre,D200888,11,Não Concl.,2,1,P888683320,402,Engenharia Florestal
2023,2. Semestre,D200888,11,Repr.Freq,38,17,P888683320,402,Engenharia Florestal
2023,2. Semestre,D200888,11,Reprovado,36,16,P888683320,402,Engenharia Florestal
2023,2. Semestre,D200888,12_307,Aprovado,78,38,P681200683,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D200888,12_307,CancMatric,2,1,P681200683,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D200888,12_307,Dispensado,2,1,P681200683,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D200888,12_307,Repr.Freq,12,6,P681200683,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D200888,12_307,Reprovado,6,3,P681200683,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D200888,126,Aprovado,29,5,P888683320,126,Física - Licenciatura Plena Noturno
2023,2. Semestre,D200888,126,Repr.Freq,59,10,P888683320,126,Física - Licenciatura Plena Noturno
2023,2. Semestre,D200888,126,Reprovado,12,2,P888683320,126,Física - Licenciatura Plena Noturno
2023,2. Semestre,D200888,50,Aprovado,50,1,P380148200,305,Engenharia Química
2023,2. Semestre,D200888,50,Reprovado,50,1,P380148200,305,Engenharia Química
2023,2. Semestre,D200888,50,Aprovado,100,1,P380148200,110,Química Industrial
