COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS
501,Administração - Diurno,Graduação,2014,F,30.0,13.0
501,Administração - Diurno,Graduação,2014,M,29.0,27.0
501,Administração - Diurno,Graduação,2015,M,23.0,15.0
501,Administração - Diurno,Graduação,2015,F,28.0,17.0
501,Administração - Diurno,Graduação,2016,M,30.0,17.0
501,Administração - Diurno,Graduação,2016,F,22.0,27.0
501,Administração - Diurno,Graduação,2017,M,38.0,20.0
501,Administração - Diurno,Graduação,2017,F,30.0,27.0
501,Administração - Diurno,Graduação,2018,M,37.0,13.0
501,Administração - Diurno,Graduação,2018,F,32.0,22.0
501,Administração - Diurno,Graduação,2019,M,41.0,10.0
501,Administração - Diurno,Graduação,2019,F,25.0,13.0
501,Administração - Diurno,Graduação,2020,M,51.0,7.0
501,Administração - Diurno,Graduação,2020,F,32.0,8.0
501,Administração - Diurno,Graduação,2021,M,31.0,16.0
501,Administração - Diurno,Graduação,2021,F,30.0,17.0
501,Administração - Diurno,Graduação,2022,F,28.0,21.0
501,Administração - Diurno,Graduação,2022,M,33.0,23.0
501,Administração - Diurno,Graduação,2023,F,31.0,12.0
501,Administração - Diurno,Graduação,2023,M,43.0,18.0
501,Administração - Diurno,Graduação,TOTAL,M,356.0,166.0
501,Administração - Diurno,Graduação,TOTAL,F,288.0,177.0
515,Administração - Noturno,Graduação,2014,F,20.0,15.0
515,Administração - Noturno,Graduação,2014,M,38.0,22.0
515,Administração - Noturno,Graduação,2015,F,18.0,17.0
515,Administração - Noturno,Graduação,2015,M,35.0,22.0
515,Administração - Noturno,Graduação,2016,F,20.0,16.0
515,Administração - Noturno,Graduação,2016,M,33.0,24.0
515,Administração - Noturno,Graduação,2017,F,23.0,17.0
515,Administração - Noturno,Graduação,2017,M,32.0,19.0
515,Administração - Noturno,Graduação,2018,M,29.0,10.0
515,Administração - Noturno,Graduação,2018,F,20.0,11.0
515,Administração - Noturno,Graduação,2019,F,24.0,5.0
515,Administração - Noturno,Graduação,2019,M,43.0,21.0
515,Administração - Noturno,Graduação,2020,F,33.0,15.0
515,Administração - Noturno,Graduação,2020,M,52.0,15.0
515,Administração - Noturno,Graduação,2021,F,30.0,12.0
515,Administração - Noturno,Graduação,2021,M,33.0,15.0
515,Administração - Noturno,Graduação,2022,M,46.0,14.0
515,Administração - Noturno,Graduação,2022,F,39.0,15.0
515,Administração - Noturno,Graduação,2023,M,59.0,14.0
515,Administração - Noturno,Graduação,2023,F,53.0,15.0
515,Administração - Noturno,Graduação,TOTAL,F,280.0,138.0
515,Administração - Noturno,Graduação,TOTAL,M,400.0,176.0
509,Arquivologia,Graduação,2014,M,9.0,2.0
509,Arquivologia,Graduação,2014,F,24.0,14.0
509,Arquivologia,Graduação,2015,M,11.0,5.0
509,Arquivologia,Graduação,2015,F,24.0,6.0
509,Arquivologia,Graduação,2016,M,17.0,5.0
509,Arquivologia,Graduação,2016,F,35.0,10.0
509,Arquivologia,Graduação,2017,M,8.0,4.0
509,Arquivologia,Graduação,2017,F,26.0,23.0
509,Arquivologia,Graduação,2018,M,14.0,7.0
509,Arquivologia,Graduação,2018,F,17.0,9.0
509,Arquivologia,Graduação,2019,M,11.0,4.0
509,Arquivologia,Graduação,2019,F,24.0,13.0
509,Arquivologia,Graduação,2020,M,13.0,1.0
509,Arquivologia,Graduação,2020,F,22.0,6.0
509,Arquivologia,Graduação,2021,M,7.0,1.0
509,Arquivologia,Graduação,2021,F,23.0,8.0
509,Arquivologia,Graduação,2022,M,9.0,4.0
509,Arquivologia,Graduação,2022,F,19.0,9.0
509,Arquivologia,Graduação,2023,M,11.0,3.0
509,Arquivologia,Graduação,2023,F,30.0,10.0
509,Arquivologia,Graduação,TOTAL,M,110.0,36.0
509,Arquivologia,Graduação,TOTAL,F,244.0,108.0
138,Bacharelado em Filosofia - Noturno,Graduação,2014,F,9.0,2.0
138,Bacharelado em Filosofia - Noturno,Graduação,2014,M,21.0,4.0
138,Bacharelado em Filosofia - Noturno,Graduação,2015,F,13.0,3.0
138,Bacharelado em Filosofia - Noturno,Graduação,2015,M,34.0,5.0
138,Bacharelado em Filosofia - Noturno,Graduação,2016,M,34.0,2.0
138,Bacharelado em Filosofia - Noturno,Graduação,2016,F,19.0,3.0
138,Bacharelado em Filosofia - Noturno,Graduação,2017,M,31.0,2.0
138,Bacharelado em Filosofia - Noturno,Graduação,2017,F,20.0,3.0
138,Bacharelado em Filosofia - Noturno,Graduação,2018,F,28.0,1.0
138,Bacharelado em Filosofia - Noturno,Graduação,2018,M,36.0,3.0
