Ano,Semestre,Cód. Disciplina,Cód. Turma,Situação,%,Alunos,Professor,Cód. Curso,Curso
2021,1. Semestre,D200888,10,Aprovado,15,5,P888402148,139,Curso de Bacharelado em Estatística - Noturno
2021,1. Semestre,D200888,10,Dispensado,3,1,P888402148,139,Curso de Bacharelado em Estatística - Noturno
2021,1. Semestre,D200888,10,Reprovado,82,27,P888402148,139,Curso de Bacharelado em Estatística - Noturno
2021,1. Semestre,D200888,11,Aprovado,31,17,P148855320,521,Ciências Econômicas - Diurno
2021,1. Semestre,D200888,11,Reprovado,67,37,P148855320,521,Ciências Econômicas - Diurno
2021,1. Semestre,D200888,11,Tr.Parcial,2,1,P148855320,521,Ciências Econômicas - Diurno
2021,1. Semestre,D200888,11,Aprovado,54,20,P394200218,402,Engenharia Florestal
2021,1. Semestre,D200888,11,Reprovado,46,17,P394200218,402,Engenharia Florestal
2021,1. Semestre,D200888,12,Aprovado,20,3,P512200642,133,Química - Bacharelado
2021,1. Semestre,D200888,12,Não Concl.,7,1,P512200642,133,Química - Bacharelado
2021,1. Semestre,D200888,12,Reprovado,60,9,P512200642,133,Química - Bacharelado
2021,1. Semestre,D200888,12,Tr.Parcial,13,2,P512200642,133,Química - Bacharelado
2021,1. Semestre,D200888,12,Não Concl.,7,1,P512200642,110,Química Industrial
2021,1. Semestre,D200888,12,Reprovado,93,13,P512200642,110,Química Industrial
2021,1. Semestre,D200888,13,Aprovado,68,34,P394200218,302,Engenharia Civil
2021,1. Semestre,D200888,13,CancMatric,2,1,P394200218,302,Engenharia Civil
2021,1. Semestre,D200888,13,Dispensado,2,1,P394200218,302,Engenharia Civil
2021,1. Semestre,D200888,13,Não Concl.,10,5,P394200218,302,Engenharia Civil
2021,1. Semestre,D200888,13,Reprovado,18,9,P394200218,302,Engenharia Civil
2021,1. Semestre,D200888,14,Aprovado,33,16,P888402148,305,Engenharia Química
2021,1. Semestre,D200888,14,Não Concl.,2,1,P888402148,305,Engenharia Química
2021,1. Semestre,D200888,14,Reprovado,65,31,P888402148,305,Engenharia Química
2021,1. Semestre,D200888,50,Reprovado,100,13,P148855320,313,Curso de Engenharia de Produção
2021,1. Semestre,D200888,50,Reprovado,100,2,P148855320,302,Engenharia Civil
2021,2. Semestre,D200888,10,Aprovado,6,2,P888402148,313,Curso de Engenharia de Produção
2021,2. Semestre,D200888,10,CancMatric,8,3,P888402148,313,Curso de Engenharia de Produção
2021,2. Semestre,D200888,10,Dispensado,8,3,P888402148,313,Curso de Engenharia de Produção
2021,2. Semestre,D200888,10,Reprovado,78,28,P888402148,313,Curso de Engenharia de Produção
2021,2. Semestre,D200888,11,Reprovado,30,16,P394200218,402,Engenharia Florestal
2021,2. Semestre,D200888,11,Aprovado,66,35,P394200218,402,Engenharia Florestal
2021,2. Semestre,D200888,11,Não Concl.,4,2,P394200218,402,Engenharia Florestal
2021,2. Semestre,D200888,12,Aprovado,27,13,P148855320,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D200888,12,Reprovado,61,30,P148855320,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D200888,12,Tr.Parcial,12,6,P148855320,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D200888,13,Aprovado,34,16,P946200888,302,Engenharia Civil
2021,2. Semestre,D200888,13,Dispensado,2,1,P946200888,302,Engenharia Civil
2021,2. Semestre,D200888,13,Reprovado,64,30,P946200888,302,Engenharia Civil
2021,2. Semestre,D200888,14,Aprovado,5,2,P512200642,305,Engenharia Química
2021,2. Semestre,D200888,14,Dispensado,3,1,P512200642,305,Engenharia Química
2021,2. Semestre,D200888,14,Reprovado,93,37,P512200642,305,Engenharia Química
2021,2. Semestre,D200888,15,Aprovado,48,25,P200218642,504,Ciências Econômicas - Noturno
2021,2. Semestre,D200888,15,Reprovado,44,23,P200218642,504,Ciências Econômicas - Noturno
2021,2. Semestre,D200888,15,Tr.Parcial,8,4,P200218642,504,Ciências Econômicas - Noturno
2021,2. Semestre,D200888,T50REA,Aprovado,81,17,P394200218,305,Engenharia Química
2021,2. Semestre,D200888,T50REA,Reprovado,19,4,P394200218,305,Engenharia Química
