Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado%,CancMatric%,Dispensado%,Não Concl.%,Repr.Freq%,Reprovado%,Tr.Parcial%,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos,Total %
2021,1. Semestre,D200888,10,P888402148,139,Curso de Bacharelado em Estatística - Noturno,15,0,3,0,0,82,0,5,0,1,0,0,27,0,33,100
2021,1. Semestre,D200888,11,P148855320,521,Ciências Econômicas - Diurno,31,0,0,0,0,67,2,17,0,0,0,0,37,1,55,100
2021,1. Semestre,D200888,11,P394200218,402,Engenharia Florestal,54,0,0,0,0,46,0,20,0,0,0,0,17,0,37,100
2021,1. Semestre,D200888,12,P512200642,110,Química Industrial,0,0,0,7,0,93,0,0,0,0,1,0,13,0,14,100
2021,1. Semestre,D200888,12,P512200642,133,Química - Bacharelado,20,0,0,7,0,60,13,3,0,0,1,0,9,2,15,100
2021,1. Semestre,D200888,13,P394200218,302,Engenharia Civil,68,2,2,10,0,18,0,34,1,1,5,0,9,0,50,100
2021,1. Semestre,D200888,14,P888402148,305,Engenharia Química,33,0,0,2,0,65,0,16,0,0,1,0,31,0,48,100
2021,1. Semestre,D200888,50,P148855320,302,Engenharia Civil,0,0,0,0,0,100,0,0,0,0,0,0,2,0,2,100
2021,1. Semestre,D200888,50,P148855320,313,Curso de Engenharia de Produção,0,0,0,0,0,100,0,0,0,0,0,0,13,0,13,100
2021,1. Semestre,D320199,11,A218148855402,110,Química Industrial,100,0,0,0,0,0,0,18,0,0,0,0,0,0,18,100
2021,1. Semestre,D320199,11,A218148855402,133,Química - Bacharelado,75,4,4,4,0,13,0,18,1,1,1,0,3,0,24,100
2021,1. Semestre,D320199,13,A292200218320,307,Ciência da Computação - Bacharelado,82,5,0,0,0,12,0,60,4,0,0,0,9,0,73,99
2021,1. Semestre,D320199,50,A218148855402,302,Engenharia Civil,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100
2021,1. Semestre,D320199,50,A218148855402,305,Engenharia Química,100,0,0,0,0,0,0,2,0,0,0,0,0,0,2,100
2021,1. Semestre,D320199,50,A218148855402,311,Curso de Engenharia Acústica,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100
2021,1. Semestre,D320199,50,A218148855402,313,Curso de Engenharia de Produção,66,0,3,9,0,22,0,21,0,1,3,0,7,0,32,100
2021,1. Semestre,D320199,50,A218148855402,315,Curso de Engenharia Aeroespacial,0,0,0,0,0,100,0,0,0,0,0,0,1,0,1,100
2021,1. Semestre,D320199,16,A806200978642,316,Curso de Engenharia de Telecomunicações,53,4,0,9,0,35,0,29,2,0,5,0,19,0,55,101
2021,1. Semestre,D320199,18,A893683855461,109,Química - Licenciatura,6,6,3,8,0,75,3,2,2,1,3,0,27,1,36,101
