COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS,CENTRO
724,Artes Cênicas - Bacharelado,Graduação,2014,M,9.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2014,F,12.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2015,M,10.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2015,F,17.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2016,M,7.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2016,F,16.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2017,M,6.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2017,F,17.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2018,M,8.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2018,F,12.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2019,M,7.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2019,F,17.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2020,M,8.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2020,F,13.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2021,M,7.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2021,F,16.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2022,M,8.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2022,F,14.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2023,M,6.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,2023,F,14.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,TOTAL,M,76.0,0.0,CAL
724,Artes Cênicas - Bacharelado,Graduação,TOTAL,F,148.0,0.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2014,F,5.0,0.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2014,M,4.0,1.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2015,M,4.0,0.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2015,F,1.0,1.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2016,F,1.0,1.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2016,M,1.0,2.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2017,F,6.0,0.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2017,M,2.0,1.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2018,M,2.0,2.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2018,F,5.0,2.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2019,F,2.0,1.0,CAL
725,Artes Cênicas - Direção Teatral,Graduação,2019,M,2.0,1.0,CAL
