COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS,CENTRO
127,Ciências Biológicas - Bacharelado,Graduação,2014,M,6.0,10.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2014,F,21.0,19.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2015,M,7.0,2.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2015,F,13.0,5.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2016,M,12.0,12.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2016,F,17.0,18.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2017,M,10.0,3.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2017,F,15.0,13.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2018,M,9.0,6.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2018,F,23.0,16.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2019,M,8.0,7.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2019,F,9.0,10.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2020,M,9.0,3.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2020,F,23.0,8.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2021,M,7.0,7.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2021,F,18.0,7.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2022,F,18.0,6.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2022,M,4.0,10.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2023,M,4.0,8.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,2023,F,13.0,18.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,TOTAL,M,76.0,68.0,CCNE
127,Ciências Biológicas - Bacharelado,Graduação,TOTAL,F,170.0,120.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2014,M,8.0,3.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2014,F,27.0,7.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2015,M,14.0,7.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2015,F,26.0,18.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2016,M,8.0,8.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2016,F,23.0,12.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2017,M,6.0,4.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2017,F,16.0,17.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2018,M,8.0,3.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2018,F,13.0,16.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2019,M,7.0,5.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2019,F,17.0,16.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2020,M,7.0,4.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2020,F,16.0,10.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2021,M,4.0,5.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2021,F,10.0,14.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2022,M,3.0,3.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2022,F,17.0,13.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2023,M,8.0,6.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,2023,F,12.0,8.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,TOTAL,M,73.0,48.0,CCNE
111,Ciências Biológicas - Licenciatura Plena,Graduação,TOTAL,F,177.0,131.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2014,M,15.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2014,F,34.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2015,M,22.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2015,F,43.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2016,M,18.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2016,F,43.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2017,M,21.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2017,F,28.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2018,M,21.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2018,F,29.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2019,M,15.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2019,F,30.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2020,M,17.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2020,F,28.0,0.0,CCNE
128,Ciências Biológicas - Núcleo Comum,Graduação,2021,M,15.0,0.0,CCNE
