Ano,Semestre,Cód. Disciplina,Cód. Turma,Situação,%,Alunos,Professor,Cód. Curso,Curso
2022,1. Semestre,D200888,10,Aprovado,36,5,P512200642,123,Física - Bacharelado
2022,1. Semestre,D200888,10,Repr.Freq,36,5,P512200642,123,Física - Bacharelado
2022,1. Semestre,D200888,10,Reprovado,21,3,P512200642,123,Física - Bacharelado
2022,1. Semestre,D200888,10,Tr.Parcial,7,1,P512200642,123,Física - Bacharelado
2022,1. Semestre,D200888,11,Aprovado,3,1,P512200642,402,Engenharia Florestal
2022,1. Semestre,D200888,11,Não Concl.,10,3,P512200642,402,Engenharia Florestal
2022,1. Semestre,D200888,11,Repr.Freq,74,23,P512200642,402,Engenharia Florestal
2022,1. Semestre,D200888,11,Reprovado,13,4,P512200642,402,Engenharia Florestal
2022,1. Semestre,D200888,12,Aprovado,14,1,P148855320,110,Química Industrial
2022,1. Semestre,D200888,12,Reprovado,43,3,P148855320,110,Química Industrial
2022,1. Semestre,D200888,12,Tr.Parcial,43,3,P148855320,110,Química Industrial
2022,1. Semestre,D200888,12,Reprovado,100,12,P148855320,133,Química - Bacharelado
2022,1. Semestre,D200888,13,Aprovado,33,15,P855200218,302,Engenharia Civil
2022,1. Semestre,D200888,13,CancMatric,2,1,P855200218,302,Engenharia Civil
2022,1. Semestre,D200888,13,Dispensado,7,3,P855200218,302,Engenharia Civil
2022,1. Semestre,D200888,13,Repr.Freq,20,9,P855200218,302,Engenharia Civil
2022,1. Semestre,D200888,13,Reprovado,39,18,P855200218,302,Engenharia Civil
2022,1. Semestre,D200888,14,Aprovado,22,10,P855200218,305,Engenharia Química
2022,1. Semestre,D200888,14,Repr.Freq,31,14,P855200218,305,Engenharia Química
2022,1. Semestre,D200888,14,Reprovado,47,21,P855200218,305,Engenharia Química
2022,1. Semestre,D200888,15,Aprovado,35,6,P681200683,139,Curso de Bacharelado em Estatística - Noturno
2022,1. Semestre,D200888,15,Dispensado,6,1,P681200683,139,Curso de Bacharelado em Estatística - Noturno
2022,1. Semestre,D200888,15,Repr.Freq,59,10,P681200683,139,Curso de Bacharelado em Estatística - Noturno
2022,1. Semestre,D200888,16,Aprovado,5,2,P512200642,521,Ciências Econômicas - Diurno
2022,1. Semestre,D200888,16,Repr.Freq,65,28,P512200642,521,Ciências Econômicas - Diurno
2022,1. Semestre,D200888,16,Reprovado,30,13,P512200642,521,Ciências Econômicas - Diurno
2022,1. Semestre,D200888,50,Reprovado,92,12,P512200642,313,Curso de Engenharia de Produção
2022,1. Semestre,D200888,50,Tr.Parcial,8,1,P512200642,313,Curso de Engenharia de Produção
2022,2. Semestre,D200888,10,CancMatric,2,1,P888683320,504,Ciências Econômicas - Noturno
2022,2. Semestre,D200888,10,Aprovado,29,12,P888683320,504,Ciências Econômicas - Noturno
2022,2. Semestre,D200888,10,Repr.Freq,57,24,P888683320,504,Ciências Econômicas - Noturno
2022,2. Semestre,D200888,10,Reprovado,12,5,P888683320,504,Ciências Econômicas - Noturno
2022,2. Semestre,D200888,11,Aprovado,5,4,P893683855,402,Engenharia Florestal
2022,2. Semestre,D200888,11,Aprovado,5,4,P855200380,402,Engenharia Florestal
2022,2. Semestre,D200888,11,Não Concl.,4,3,P893683855,402,Engenharia Florestal
2022,2. Semestre,D200888,11,Não Concl.,4,3,P855200380,402,Engenharia Florestal
2022,2. Semestre,D200888,11,Repr.Freq,36,27,P893683855,402,Engenharia Florestal
2022,2. Semestre,D200888,11,Repr.Freq,36,27,P855200380,402,Engenharia Florestal
2022,2. Semestre,D200888,11,Reprovado,4,3,P893683855,402,Engenharia Florestal
2022,2. Semestre,D200888,11,Reprovado,4,3,P855200380,402,Engenharia Florestal
2022,2. Semestre,D200888,12,Aprovado,18,14,P893683855,307,Ciência da Computação - Bacharelado
2022,2. Semestre,D200888,12,Aprovado,18,14,J0000001111,307,Ciência da Computação - Bacharelado
2022,2. Semestre,D200888,12,Repr.Freq,16,12,P893683855,307,Ciência da Computação - Bacharelado
2022,2. Semestre,D200888,12,Repr.Freq,16,12,J0000001111,307,Ciência da Computação - Bacharelado
2022,2. Semestre,D200888,12,Reprovado,16,12,P893683855,307,Ciência da Computação - Bacharelado
2022,2. Semestre,D200888,12,Reprovado,16,12,J0000001111,307,Ciência da Computação - Bacharelado
2022,2. Semestre,D200888,13,Aprovado,18,9,P642380402,302,Engenharia Civil
2022,2. Semestre,D200888,13,Dispensado,6,3,P642380402,302,Engenharia Civil
2022,2. Semestre,D200888,13,Repr.Freq,45,22,P642380402,302,Engenharia Civil
2022,2. Semestre,D200888,13,Reprovado,31,15,P642380402,302,Engenharia Civil
2022,2. Semestre,D200888,14,Aprovado,19,9,M000001111,305,Engenharia Química
2022,2. Semestre,D200888,14,CancMatric,2,1,M000001111,305,Engenharia Química
2022,2. Semestre,D200888,14,Repr.Freq,49,23,M000001111,305,Engenharia Química
2022,2. Semestre,D200888,14,Reprovado,30,14,M000001111,305,Engenharia Química
2022,2. Semestre,D200888,15,Aprovado,36,10,P681200683,313,Curso de Engenharia de Produção
2022,2. Semestre,D200888,15,Dispensado,4,1,P681200683,313,Curso de Engenharia de Produção
2022,2. Semestre,D200888,15,Repr.Freq,43,12,P681200683,313,Curso de Engenharia de Produção
2022,2. Semestre,D200888,15,Reprovado,18,5,P681200683,313,Curso de Engenharia de Produção
2022,2. Semestre,D200888,50,Reprovado,100,1,P888683320,110,Química Industrial
2022,2. Semestre,D200888,50,Aprovado,100,4,P888683320,302,Engenharia Civil
