COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS
763,Dança - Licenciatura,Graduação,2014,M,4.0,0.0
763,Dança - Licenciatura,Graduação,2014,F,10.0,0.0
763,Dança - Licenciatura,Graduação,2015,M,4.0,0.0
763,Dança - Licenciatura,Graduação,2015,F,31.0,0.0
763,Dança - Licenciatura,Graduação,2016,M,6.0,1.0
763,Dança - Licenciatura,Graduação,2016,F,11.0,1.0
763,Dança - Licenciatura,Graduação,2017,M,3.0,1.0
763,Dança - Licenciatura,Graduação,2017,F,15.0,6.0
763,Dança - Licenciatura,Graduação,2018,M,7.0,1.0
763,Dança - Licenciatura,Graduação,2018,F,11.0,3.0
763,Dança - Licenciatura,Graduação,2019,M,4.0,2.0
763,Dança - Licenciatura,Graduação,2019,F,12.0,5.0
763,Dança - Licenciatura,Graduação,2020,M,3.0,0.0
763,Dança - Licenciatura,Graduação,2020,F,14.0,0.0
763,Dança - Licenciatura,Graduação,2021,M,1.0,1.0
763,Dança - Licenciatura,Graduação,2021,F,16.0,5.0
763,Dança - Licenciatura,Graduação,2022,M,2.0,3.0
763,Dança - Licenciatura,Graduação,2022,F,11.0,8.0
763,Dança - Licenciatura,Graduação,2023,M,6.0,0.0
763,Dança - Licenciatura,Graduação,2023,F,18.0,0.0
763,Dança - Licenciatura,Graduação,TOTAL,M,40.0,9.0
763,Dança - Licenciatura,Graduação,TOTAL,F,149.0,28.0
801,Educação Física,Graduação,2014,M,53.0,19.0
801,Educação Física,Graduação,2014,F,33.0,20.0
801,Educação Física,Graduação,2015,M,42.0,15.0
801,Educação Física,Graduação,2015,F,38.0,23.0
801,Educação Física,Graduação,2016,F,31.0,15.0
801,Educação Física,Graduação,2016,M,39.0,21.0
801,Educação Física,Graduação,2017,F,26.0,18.0
801,Educação Física,Graduação,2017,M,43.0,27.0
801,Educação Física,Graduação,2018,F,26.0,13.0
801,Educação Física,Graduação,2018,M,53.0,13.0
801,Educação Física,Graduação,2019,F,22.0,22.0
801,Educação Física,Graduação,2019,M,45.0,29.0
801,Educação Física,Graduação,2020,M,46.0,4.0
801,Educação Física,Graduação,2020,F,24.0,11.0
801,Educação Física,Graduação,2021,F,28.0,8.0
801,Educação Física,Graduação,2021,M,40.0,12.0
801,Educação Física,Graduação,2022,F,33.0,6.0
801,Educação Física,Graduação,2022,M,35.0,13.0
801,Educação Física,Graduação,2023,M,60.0,12.0
801,Educação Física,Graduação,2023,F,28.0,19.0
801,Educação Física,Graduação,TOTAL,F,289.0,155.0
801,Educação Física,Graduação,TOTAL,M,456.0,165.0
809,Educação Física - Bacharelado,Graduação,2014,F,30.0,17.0
809,Educação Física - Bacharelado,Graduação,2014,M,53.0,19.0
809,Educação Física - Bacharelado,Graduação,2015,M,57.0,16.0
809,Educação Física - Bacharelado,Graduação,2015,F,27.0,19.0
809,Educação Física - Bacharelado,Graduação,2016,F,22.0,21.0
809,Educação Física - Bacharelado,Graduação,2016,M,46.0,26.0
809,Educação Física - Bacharelado,Graduação,2017,F,17.0,16.0
809,Educação Física - Bacharelado,Graduação,2017,M,50.0,24.0
809,Educação Física - Bacharelado,Graduação,2018,F,29.0,25.0
809,Educação Física - Bacharelado,Graduação,2018,M,42.0,29.0
809,Educação Física - Bacharelado,Graduação,2019,F,21.0,10.0
809,Educação Física - Bacharelado,Graduação,2019,M,49.0,34.0
809,Educação Física - Bacharelado,Graduação,2020,F,24.0,4.0
809,Educação Física - Bacharelado,Graduação,2020,M,49.0,13.0
809,Educação Física - Bacharelado,Graduação,2021,F,32.0,11.0
809,Educação Física - Bacharelado,Graduação,2021,M,38.0,15.0
809,Educação Física - Bacharelado,Graduação,2022,F,12.0,10.0
809,Educação Física - Bacharelado,Graduação,2022,M,47.0,10.0
809,Educação Física - Bacharelado,Graduação,2023,F,19.0,13.0
809,Educação Física - Bacharelado,Graduação,2023,M,48.0,23.0
809,Educação Física - Bacharelado,Graduação,TOTAL,F,233.0,146.0
809,Educação Física - Bacharelado,Graduação,TOTAL,M,479.0,209.0
