Ano,Semestre,Cód. Disciplina,Cód. Turma,Situação,%,Alunos,Professor,Cód. Curso,Curso
2023,1. Semestre,D888148,CC1,Aprovado,67,16,C320402855200,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D888148,CC1,CancMatric,4,1,C320402855200,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D888148,CC1,Dispensado,4,1,C320402855200,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D888148,CC1,Repr.Freq,8,2,C320402855200,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D888148,CC1,Reprovado,17,4,C320402855200,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D888148,CC2,Aprovado,75,12,C380148200685,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D888148,CC2,Reprovado,25,4,C380148200685,307,Ciência da Computação - Bacharelado
2023,1. Semestre,D888148,SI1,Repr.Freq,100,3,C320402855200,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D888148,SI2,Aprovado,20,1,C380148200685,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D888148,SI2,Repr.Freq,40,2,C380148200685,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D888148,SI2,Reprovado,40,2,C380148200685,314,Bacharelado em Sistemas de Informação
2023,1. Semestre,D888148,TREA50,Reprovado,100,2,,304,Engenharia Mecânica
2023,2. Semestre,D888148,CC1,Aprovado,33,1,C380148200685,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D888148,CC1,Repr.Freq,33,1,C380148200685,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D888148,CC1,Reprovado,33,1,C380148200685,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D888148,CC2,Aprovado,40,2,C218200683888,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D888148,CC2,Repr.Freq,60,3,C218200683888,307,Ciência da Computação - Bacharelado
2023,2. Semestre,D888148,SI1,Aprovado,67,8,C380148200685,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D888148,SI1,Repr.Freq,8,1,C380148200685,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D888148,SI1,Reprovado,25,3,C380148200685,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D888148,SI2,Aprovado,35,7,C218200683888,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D888148,SI2,Dispensado,5,1,C218200683888,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D888148,SI2,Repr.Freq,25,5,C218200683888,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D888148,SI2,Reprovado,25,5,C218200683888,314,Bacharelado em Sistemas de Informação
2023,2. Semestre,D888148,SI2,Tr.Parcial,10,2,C218200683888,314,Bacharelado em Sistemas de Informação
