Ano,Semestre,Cód. Disciplina,Cód. Turma,Situação,%,Alunos,Professor,Cód. Curso,Curso
2021,1. Semestre,D888200,CC1,Aprovado,84,16,E681200461218,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888200,CC1,CancMatric,11,2,E681200461218,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888200,CC1,Reprovado,5,1,E681200461218,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888200,CC2,Aprovado,56,10,E978402380148,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888200,CC2,CancMatric,11,2,E978402380148,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888200,CC2,Reprovado,33,6,E978402380148,307,Ciência da Computação - Bacharelado
2021,1. Semestre,D888200,SI1,Aprovado,20,1,E681200461218,314,Bacharelado em Sistemas de Informação
2021,1. Semestre,D888200,SI1,Reprovado,80,4,E681200461218,314,Bacharelado em Sistemas de Informação
2021,1. Semestre,D888200,SI2,Aprovado,60,3,E978402380148,314,Bacharelado em Sistemas de Informação
2021,1. Semestre,D888200,SI2,Reprovado,40,2,E978402380148,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888200,CC1,Aprovado,40,2,E978402380148,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888200,CC1,Reprovado,40,2,E978402380148,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888200,CC1,Tr.Parcial,20,1,E978402380148,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888200,CC2,Aprovado,40,2,E681200461218,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888200,CC2,Reprovado,40,2,E681200461218,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888200,CC2,Tr.Parcial,20,1,E681200461218,307,Ciência da Computação - Bacharelado
2021,2. Semestre,D888200,SI1,Aprovado,43,10,E978402380148,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888200,SI1,CancMatric,9,2,E978402380148,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888200,SI1,Não Concl.,4,1,E978402380148,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888200,SI1,Reprovado,43,10,E978402380148,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888200,SI2,Aprovado,12,2,E681200461218,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888200,SI2,CancMatric,6,1,E681200461218,314,Bacharelado em Sistemas de Informação
2021,2. Semestre,D888200,SI2,Reprovado,82,14,E681200461218,314,Bacharelado em Sistemas de Informação
2022,1. Semestre,D888200,CC1,Aprovado,87,13,E681200461218,307,Ciência da Computação - Bacharelado
2022,1. Semestre,D888200,CC1,Reprovado,13,2,E681200461218,307,Ciência da Computação - Bacharelado
2022,1. Semestre,D888200,CC2,Aprovado,67,16,E978402380148,307,Ciência da Computação - Bacharelado
2022,1. Semestre,D888200,CC2,CancMatric,4,1,E978402380148,307,Ciência da Computação - Bacharelado
2022,1. Semestre,D888200,CC2,Repr.Freq,4,1,E978402380148,307,Ciência da Computação - Bacharelado
2022,1. Semestre,D888200,CC2,Reprovado,21,5,E978402380148,307,Ciência da Computação - Bacharelado
2022,1. Semestre,D888200,CC2,Tr.Parcial,4,1,E978402380148,307,Ciência da Computação - Bacharelado
2022,1. Semestre,D888200,SI1,Reprovado,100,1,E681200461218,314,Bacharelado em Sistemas de Informação
2022,1. Semestre,D888200,SI2,Aprovado,67,2,E978402380148,314,Bacharelado em Sistemas de Informação
2022,1. Semestre,D888200,SI2,Repr.Freq,33,1,E978402380148,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,CC,Aprovado,80,8,E200380461148,307,Ciência da Computação - Bacharelado
2022,2. Semestre,D888200,CC,Reprovado,20,2,E200380461148,307,Ciência da Computação - Bacharelado
2022,2. Semestre,D888200,SI1,Aprovado,63,19,E978402380148,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI1,Dispensado,3,1,E978402380148,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI1,Repr.Freq,7,2,E978402380148,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI1,Reprovado,27,8,E978402380148,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI2,Aprovado,60,9,E681200461218,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI2,CancMatric,7,1,E681200461218,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI2,Repr.Freq,20,3,E681200461218,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI2,Reprovado,13,2,E681200461218,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI3,Aprovado,80,8,E200380461148,314,Bacharelado em Sistemas de Informação
2022,2. Semestre,D888200,SI3,Reprovado,20,2,E200380461148,314,Bacharelado em Sistemas de Informação
