COD_CURSO,NOME_UNIDADE,ANO,CENTRO,INGRESSANTES_M,INGRESSANTES_F,FORMADOS_M,FORMADOS_F,TOTAL_FORMADOS,TOTAL_INGRESSANTES,INGRESSANTES_M%,INGRESSANTES_F%,FORMADOS_M%,FORMADOS_F%
101,Filosofia - Licenciatura Plena,2014,CCSH,8,11,17,15.0,32,19,0.42105263157894735,0.5789473684210527,0.53125,0.46875
101,Filosofia - Licenciatura Plena,2015,CCSH,6,7,21,26.0,47,13,0.46153846153846156,0.5384615384615384,0.44680851063829785,0.5531914893617021
101,Filosofia - Licenciatura Plena,2016,CCSH,10,8,32,23.0,55,18,0.5555555555555556,0.4444444444444444,0.5818181818181818,0.41818181818181815
101,Filosofia - Licenciatura Plena,2017,CCSH,3,2,25,34.0,59,5,0.6,0.4,0.423728813559322,0.576271186440678
101,Filosofia - Licenciatura Plena,2018,CCSH,5,5,20,24.0,44,10,0.5,0.5,0.45454545454545453,0.5454545454545454
101,Filosofia - Licenciatura Plena,2019,CCSH,5,11,22,27.0,49,16,0.3125,0.6875,0.4489795918367347,0.5510204081632653
101,Filosofia - Licenciatura Plena,2020,CCSH,6,6,18,33.0,51,12,0.5,0.5,0.35294117647058826,0.6470588235294118
101,Filosofia - Licenciatura Plena,2021,CCSH,5,9,22,9.0,31,14,0.35714285714285715,0.6428571428571429,0.7096774193548387,0.2903225806451613
101,Filosofia - Licenciatura Plena,2022,CCSH,5,11,21,28.0,49,16,0.3125,0.6875,0.42857142857142855,0.5714285714285714
101,Filosofia - Licenciatura Plena,2023,CCSH,2,7,15,22.0,37,9,0.2222222222222222,0.7777777777777778,0.40540540540540543,0.5945945945945946
101,Filosofia - Licenciatura Plena,TOTAL,CCSH,55,77,213,241.0,454,132,0.4166666666666667,0.5833333333333334,0.46916299559471364,0.5308370044052864
102,Física - Licenciatura Plena,2014,CCNE,3,2,10,7.0,17,5,0.6,0.4,0.5882352941176471,0.4117647058823529
102,Física - Licenciatura Plena,2015,CCNE,2,3,8,18.0,26,5,0.4,0.6,0.3076923076923077,0.6923076923076923
102,Física - Licenciatura Plena,2016,CCNE,2,0,10,24.0,34,2,1.0,0.0,0.29411764705882354,0.7058823529411765
102,Física - Licenciatura Plena,2017,CCNE,1,1,8,16.0,24,2,0.5,0.5,0.3333333333333333,0.6666666666666666
102,Física - Licenciatura Plena,2018,CCNE,2,1,10,24.0,34,3,0.6666666666666666,0.3333333333333333,0.29411764705882354,0.7058823529411765
102,Física - Licenciatura Plena,2019,CCNE,1,1,10,18.0,28,2,0.5,0.5,0.35714285714285715,0.6428571428571429
102,Física - Licenciatura Plena,2020,CCNE,1,0,16,10.0,26,1,1.0,0.0,0.6153846153846154,0.38461538461538464
102,Física - Licenciatura Plena,2021,CCNE,1,5,6,18.0,24,6,0.16666666666666666,0.8333333333333334,0.25,0.75
102,Física - Licenciatura Plena,2022,CCNE,2,7,11,11.0,22,9,0.2222222222222222,0.7777777777777778,0.5,0.5
102,Física - Licenciatura Plena,2023,CCNE,3,4,8,9.0,17,7,0.42857142857142855,0.5714285714285714,0.47058823529411764,0.5294117647058824
102,Física - Licenciatura Plena,TOTAL,CCNE,18,24,97,155.0,252,42,0.42857142857142855,0.5714285714285714,0.38492063492063494,0.6150793650793651
109,Química - Licenciatura,2014,CCNE,14,4,15,12.0,27,18,0.7777777777777778,0.2222222222222222,0.5555555555555556,0.4444444444444444
109,Química - Licenciatura,2015,CCNE,6,4,26,20.0,46,10,0.6,0.4,0.5652173913043478,0.43478260869565216
109,Química - Licenciatura,2016,CCNE,6,6,28,24.0,52,12,0.5,0.5,0.5384615384615384,0.46153846153846156
109,Química - Licenciatura,2017,CCNE,11,5,20,15.0,35,16,0.6875,0.3125,0.5714285714285714,0.42857142857142855
109,Química - Licenciatura,2018,CCNE,7,6,31,12.0,43,13,0.5384615384615384,0.46153846153846156,0.7209302325581395,0.27906976744186046
109,Química - Licenciatura,2019,CCNE,11,5,20,24.0,44,16,0.6875,0.3125,0.45454545454545453,0.5454545454545454
109,Química - Licenciatura,2020,CCNE,0,2,25,17.0,42,2,0.0,1.0,0.5952380952380952,0.40476190476190477
109,Química - Licenciatura,2021,CCNE,9,5,26,11.0,37,14,0.6428571428571429,0.35714285714285715,0.7027027027027027,0.2972972972972973
109,Química - Licenciatura,2022,CCNE,8,7,18,13.0,31,15,0.5333333333333333,0.4666666666666667,0.5806451612903226,0.41935483870967744
109,Química - Licenciatura,2023,CCNE,8,5,16,10.0,26,13,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.38461538461538464
109,Química - Licenciatura,TOTAL,CCNE,80,49,225,158.0,383,129,0.6201550387596899,0.3798449612403101,0.587467362924282,0.412532637075718
110,Química Industrial,2014,CCNE,11,5,9,6.0,15,16,0.6875,0.3125,0.6,0.4
110,Química Industrial,2015,CCNE,2,3,9,6.0,15,5,0.4,0.6,0.6,0.4
110,Química Industrial,2016,CCNE,9,4,14,4.0,18,13,0.6923076923076923,0.3076923076923077,0.7777777777777778,0.2222222222222222
110,Química Industrial,2017,CCNE,6,5,13,6.0,19,11,0.5454545454545454,0.45454545454545453,0.6842105263157895,0.3157894736842105
110,Química Industrial,2018,CCNE,6,2,14,8.0,22,8,0.75,0.25,0.6363636363636364,0.36363636363636365
110,Química Industrial,2019,CCNE,5,1,15,7.0,22,6,0.8333333333333334,0.16666666666666666,0.6818181818181818,0.3181818181818182
110,Química Industrial,2020,CCNE,3,0,13,8.0,21,3,1.0,0.0,0.6190476190476191,0.38095238095238093
110,Química Industrial,2021,CCNE,10,1,7,8.0,15,11,0.9090909090909091,0.09090909090909091,0.4666666666666667,0.5333333333333333
110,Química Industrial,2022,CCNE,6,3,8,7.0,15,9,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.4666666666666667
110,Química Industrial,2023,CCNE,4,1,12,4.0,16,5,0.8,0.2,0.75,0.25
110,Química Industrial,TOTAL,CCNE,62,25,114,64.0,178,87,0.7126436781609196,0.28735632183908044,0.6404494382022472,0.3595505617977528
111,Ciências Biológicas - Licenciatura Plena,2014,CCNE,7,3,27,8.0,35,10,0.7,0.3,0.7714285714285715,0.22857142857142856
111,Ciências Biológicas - Licenciatura Plena,2015,CCNE,18,7,26,14.0,40,25,0.72,0.28,0.65,0.35
111,Ciências Biológicas - Licenciatura Plena,2016,CCNE,12,8,23,8.0,31,20,0.6,0.4,0.7419354838709677,0.25806451612903225
111,Ciências Biológicas - Licenciatura Plena,2017,CCNE,17,4,16,6.0,22,21,0.8095238095238095,0.19047619047619047,0.7272727272727273,0.2727272727272727
111,Ciências Biológicas - Licenciatura Plena,2018,CCNE,16,3,13,8.0,21,19,0.8421052631578947,0.15789473684210525,0.6190476190476191,0.38095238095238093
111,Ciências Biológicas - Licenciatura Plena,2019,CCNE,16,5,17,7.0,24,21,0.7619047619047619,0.23809523809523808,0.7083333333333334,0.2916666666666667
111,Ciências Biológicas - Licenciatura Plena,2020,CCNE,10,4,16,7.0,23,14,0.7142857142857143,0.2857142857142857,0.6956521739130435,0.30434782608695654
111,Ciências Biológicas - Licenciatura Plena,2021,CCNE,14,5,10,4.0,14,19,0.7368421052631579,0.2631578947368421,0.7142857142857143,0.2857142857142857
111,Ciências Biológicas - Licenciatura Plena,2022,CCNE,13,3,17,3.0,20,16,0.8125,0.1875,0.85,0.15
111,Ciências Biológicas - Licenciatura Plena,2023,CCNE,8,6,12,8.0,20,14,0.5714285714285714,0.42857142857142855,0.6,0.4
111,Ciências Biológicas - Licenciatura Plena,TOTAL,CCNE,131,48,177,73.0,250,179,0.7318435754189944,0.2681564245810056,0.708,0.292
121,Geografia - Licenciatura Plena,2014,CCNE,12,8,17,12.0,29,20,0.6,0.4,0.5862068965517241,0.41379310344827586
121,Geografia - Licenciatura Plena,2015,CCNE,4,11,19,27.0,46,15,0.26666666666666666,0.7333333333333333,0.41304347826086957,0.5869565217391305
121,Geografia - Licenciatura Plena,2016,CCNE,11,8,22,28.0,50,19,0.5789473684210527,0.42105263157894735,0.44,0.56
121,Geografia - Licenciatura Plena,2017,CCNE,6,5,18,17.0,35,11,0.5454545454545454,0.45454545454545453,0.5142857142857142,0.4857142857142857
121,Geografia - Licenciatura Plena,2018,CCNE,1,2,19,41.0,60,3,0.3333333333333333,0.6666666666666666,0.31666666666666665,0.6833333333333333
121,Geografia - Licenciatura Plena,2019,CCNE,11,9,19,18.0,37,20,0.55,0.45,0.5135135135135135,0.4864864864864865
121,Geografia - Licenciatura Plena,2020,CCNE,2,3,18,22.0,40,5,0.4,0.6,0.45,0.55
121,Geografia - Licenciatura Plena,2021,CCNE,10,4,17,18.0,35,14,0.7142857142857143,0.2857142857142857,0.4857142857142857,0.5142857142857142
