Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos
2021,1. Semestre,D200888,10,P888402148,139,Curso de Bacharelado em Estatística - Noturno,5,0,1,0,0,27,0,33
2021,1. Semestre,D200888,11,P148855320,521,Ciências Econômicas - Diurno,17,0,0,0,0,37,1,55
2021,1. Semestre,D200888,11,P394200218,402,Engenharia Florestal,20,0,0,0,0,17,0,37
2021,1. Semestre,D200888,12,P512200642,110,Química Industrial,0,0,0,1,0,13,0,14
2021,1. Semestre,D200888,12,P512200642,133,Química - Bacharelado,3,0,0,1,0,9,2,15
2021,1. Semestre,D200888,13,P394200218,302,Engenharia Civil,34,1,1,5,0,9,0,50
2021,1. Semestre,D200888,14,P888402148,305,Engenharia Química,16,0,0,1,0,31,0,48
2021,1. Semestre,D200888,50,P148855320,302,Engenharia Civil,0,0,0,0,0,2,0,2
2021,1. Semestre,D200888,50,P148855320,313,Curso de Engenharia de Produção,0,0,0,0,0,13,0,13
2021,1. Semestre,D320199,10,A148855320200,303,Engenharia Elétrica,22,0,0,1,0,24,1,48
2021,1. Semestre,D320199,10,A380683888642,303,Engenharia Elétrica,22,0,0,1,0,24,1,48
2021,1. Semestre,D320199,10,A512642218320,303,Engenharia Elétrica,22,0,0,1,0,24,1,48
2021,1. Semestre,D320199,10,A855200218200,303,Engenharia Elétrica,22,0,0,1,0,24,1,48
2021,1. Semestre,D320199,10,A893683855461,303,Engenharia Elétrica,22,0,0,1,0,24,1,48
2021,1. Semestre,D320199,11,A218148855402,110,Química Industrial,18,0,0,0,0,0,0,18
2021,1. Semestre,D320199,11,A218148855402,133,Química - Bacharelado,18,1,1,1,0,3,0,24
2021,1. Semestre,D320199,12,A148855320200,304,Engenharia Mecânica,2,2,3,3,0,40,1,51
2021,1. Semestre,D320199,12,A380683888642,304,Engenharia Mecânica,2,2,3,3,0,40,1,51
2021,1. Semestre,D320199,12,A512642218320,304,Engenharia Mecânica,2,2,3,3,0,40,1,51
